,Case,dynamic_hypothesis,variables,label_graphs,nx_graph,Reference 
0,1,"The order rate decision, if it is to bring actual inventory towards desired inventory, must increase the order rate as inventory falls below desired inventory. Conversely, as inventory rises toward the desired inventory, order rate should be reduced","order rate,inventory,desired inventory,adjustment time","digraph {
""order rate"" -> ""inventory"" [arrowhead = vee]
""inventory""->""order rate""[arrowhead = tee] 
""desired inventory"" -> ""order rate""[arrowhead = vee] 
""adjustment time"" -> ""order rate""[arrowhead = tee] 
}",DiGraph with 4 nodes and 4 edges,
1,2,"A hot cup of coffee will gradually cool down to room temperature. It's rate of cooling depends on the difference between the temperature of the coffee and the temperature of the room. The greater the difference, the faster the coffee will cool.","coffee temperature,discrepancy,cooling rate,room temperature","digraph {
""coffee temperature"" -> ""discrepancy"" [arrowhead = vee] 
""discrepancy""->""cooling rate""[arrowhead = vee] 
""cooling rate"" -> ""coffee temperature""[arrowhead = tee] 
""room temperature"" -> ""discrepancy""[arrowhead = tee] 
}",DiGraph with 4 nodes and 4 edges,
2,3,"The number of E. coli bacteria in the flask influences the reproduction rate which, in turn, influences the number of E. coli bacteria.  Increasing the number of E. coli bacteria will in turn increase the reproduction rate, which compounds the initial increase of the number of E. coli bacteria in the shaking flask.","E. Coli Bacteria,reproduction,Reproduction Fraction","digraph {
""E. Coli Bacteria"" -> ""reproduction"" [arrowhead = vee] 
""reproduction""->""E. Coli Bacteria""[arrowhead = vee] 
""Reproduction Fraction"" -> ""reproduction""[arrowhead = vee] 
}",DiGraph with 3 nodes and 3 edges,
3,4,"The more my uncle smokes, the more addicted he becomes to the nicotine in his cigarettes. After smoking a few cigarettes a long time ago, my uncle began to develop a need for cigarettes. The need caused him to smoke even more, which produced an even stronger need to smoke. The reinforcing behavior in the addiction process is characteristic of positive feedback.","smoking,cigarettes smoked,need for cigarettes,addiction time","digraph {
""smoking"" -> ""cigarettes smoked"" [arrowhead = vee] 
""cigarettes smoked""->""need for cigarettes""[arrowhead = vee] 
""need for cigarettes"" -> ""smoking""[arrowhead = vee]
""addiction time"" -> ""smoking"" [arrowhead = tee]
}",DiGraph with 4 nodes and 4 edges,
4,5,"Negative feedback system is the gradual decay of radioactive nuclei. Every year, a fraction of the total number of radioactive nuclei decays.","radioactive nuclei,decay,decay constant","digraph {
""radioactive nuclei"" -> ""decay"" [arrowhead = tee] 
""decay""->""radioactive nuclei""[arrowhead = vee] 
""decay constant"" -> ""decay""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
5,6,"The more I am overweight, the more I diet, which makes me less overweight. As my weight approaches my desired weight, I feel less pressured to diet.","dieting,weight,amount overweight,time for dieting to reduce weight,desired weight","digraph {
""dieting"" -> ""weight"" [arrowhead = tee] 
""weight""->""amount overweight""[arrowhead = vee] 
""amount overweight"" -> ""dieting""[arrowhead = vee]
""time for dieting to reduce weight"" -> ""dieting""[arrowhead = tee]
""desired weight""->""amount overweight""[arrowhead = tee] 
}",DiGraph with 5 nodes and 5 edges,
6,7,"The larger the population, the greater the number of births. increases, the faster the population increases. The more the birth rate increases, the faster the population increases.","births,rabbit population,birth fraction","digraph {
""births"" -> ""rabbit population"" [arrowhead = vee] 
""rabbit population""->""births""[arrowhead = vee] 
""birth fraction"" -> ""births""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
7,8,"The number of deaths each year is a certain fraction of the skunk population. The death fraction represents the mortality of the population. A large skunk population has a high death rate, which sharply reduces the population. As the population decreases, the death rate becomes less drastic, causing the population to continue to decrease, but not as severely. Eventually, all the skunks die.","skunk population,deaths,death fraction","digraph {
""skunk population"" -> ""deaths"" [arrowhead = vee] 
""deaths""->""skunk population""[arrowhead = tee] 
""death fraction"" -> ""deaths""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
8,9,"Interest payments are calculated by multiplying the amount of money in a bank account by a given interest rate. The more money is in the account, the higher the interest payments, which adds even more money into the account. The rich get richer.","interest payments,money in bank account,interest rate","digraph {
""interest payments"" -> ""money in bank account"" [arrowhead = vee] 
""money in bank account""->""interest payments""[arrowhead = vee] 
""interest rate"" -> ""interest payments""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
9,10,"Food takes time to digest. The more brownies you have in your stomach, the more brownies you digest, which increases the rate at which brownies leave your stomach. As the number of brownies in your stomach decreases, the digesting rate slows down until all of the brownies have been digested.","brownies in stomach,digesting,time to digest","digraph {
""brownies in stomach"" -> ""digesting"" [arrowhead = vee] 
""digesting""->""brownies in stomach""[arrowhead = tee] 
""time to digest"" -> ""digesting""[arrowhead = tee]
}",DiGraph with 3 nodes and 3 edges,
10,11,"As the number of infected people increases, so does the rate of contagion. In turn, more and more people will be infected with the illness.","contagion,infected people,infection fraction","digraph {
""contagion"" -> ""infected people"" [arrowhead = vee] 
""infected people""->""contagion""[arrowhead = vee] 
""infection fraction"" -> ""contagion""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
11,12,"Someone shouts “fire!” in a theater. As people panic, the spread of panic increases. Across the theater hall, more and more people try to rush out. As the spread of panic increases, the total amount of panic skyrockets.","spread of panic,panic,spreading fraction","digraph {
""spread of panic"" -> ""panic"" [arrowhead = vee] 
""panic""->""spread of panic""[arrowhead = vee] 
""spreading fraction"" -> ""spread of panic""[arrowhead = vee]
}",DiGraph with 3 nodes and 3 edges,
12,13,"Car production builds the inventory of cars at the dealer. A hgiher inventory leads to a lower market price, and lower market prices cause less car production in the future. There is only one negative arrow in the producution loop, so we know that this is negative feedback. This loop describes the effect of the supply curve from your study of ecomomics. If the price were to increase, the retail sale of cars would tend to fall. Retails sales drain the inventory of cars held in stock at the dealership. And a decline in the inventory will cause the dealers to raise their prices in the future. ","inventory of cars at dealership,market price,car production,retail car sales","digraph {
""inventory of cars at dealership"" -> ""market price"" [arrowhead = tee] 
""market price""->""car production""[arrowhead = vee] 
""car production"" -> ""inventory of cars at dealership""[arrowhead = vee]
""market price"" -> ""retail car sales""[arrowhead = tee]
""retail car sales""-> ""inventory of cars at dealership""[arrowhead = tee]
}",DiGraph with 4 nodes and 5 edges,
13,14,"a larger population leads to a higher number of births, and higher births leads to a higher populatioh. The larger population will tend to have a greater number of deaths. ","births,population,deaths,brith rate,death rate","digraph {
""births"" -> ""population"" [arrowhead = vee] 
""population""->""births""[arrowhead = vee] 
""population""->""deaths""[arrowhead = vee] 
""deaths""->""population""[arrowhead = tee] 
""brith rate""->""births""[arrowhead = vee] 
""death rate""->""deaths""[arrowhead = vee] 
}",DiGraph with 5 nodes and 6 edges,
14,15,There is a single positive feedback loop involving the decay of flowers area over time. There is a single negative loop involving the decay of flowered area over time. The third loop acts to slow the rate of growht as the flowers occupy a larger faction of the suitable area. ,"flowered area,growth,decay,empty area,decay rate,growth rate,fraction occupied,suitable area","digraph {
""flowered area"" -> ""growth"" [arrowhead = vee] 
""growth""->""flowered area""[arrowhead = vee] 
""flowered area""->""decay""[arrowhead = vee] 
""decay""->""flowered area""[arrowhead = tee] 
""decay""->""empty area""[arrowhead = vee] 
""decay rate""->""decay""[arrowhead = vee] 
""growth""->""empty area""[arrowhead = tee] 
""growth rate""->""growth""[arrowhead = vee] 
""fraction occupied""->""growth rate""[arrowhead = tee] 
""suitable area""->""fraction occupied""[arrowhead = tee] 
""flowered area""->""fraction occupied""[arrowhead = vee] 
}",DiGraph with 8 nodes and 11 edges,
15,16," The Assignment Backlog is increased by the Assignment Rate and decreased by the Completion Rate. Completion Rate (taskdweek) is Workweek (hours per week) times Productivity (tasks completed per hour of effort) times the Effort Devoted to Assignments. Effort Devoted to Assignments is the effort put in by the student compared to the effort required to complete the assignment with high quality. If work pressure is high, the student may choose to cut corners, skim some reading, skip classes, or give less complete answers to the questions in assignments. For example, if a student works 50 hours per week and can do one task per hour with high quality but only does half the work each assignment requires for a good job, then the completion rate would be (50)(1)(.5) = 25 task equivalents per week.

Work Pressure determines the workweek and effort devoted to assignments. Work pressure depends on the assignment backlog and the Time Remaining to complete the work: The bigger the backlog or the less time remaining, the higher the workweek needs to be to complete the work on time. Time remaining is of course simply the difference between the Due Date and the current Calendar Time. The two most basic options available to a student faced with high work pressure are to (1) work longer hours, thus increasing the completion rate and reducing the backlog (the Midnight Oil loop B l), or (2) work faster by spending less time on each task, speeding the completion rate and reducing the backlog (the Corner Cutting loop B2). Both are negative feedbacks whose goal is to reduce work pressure to a tolerable level.","Assignment Backlog,Work Pressure,Workweek,Work Completion Rate,Effort Devoted to Assignments,Assignment Rate,Time Remaining,Due Date,Calendar Time,Productivity","digraph{
    
    ""Assignment Backlog"" -> ""Work Pressure"" [arrowhead= vee]
    ""Work Pressure"" -> ""Workweek"" [arrowhead= vee] 
    ""Workweek"" -> ""Work Completion Rate""  [arrowhead= tee] 
    ""Work Completion Rate"" -> ""Assignment Backlog"" [arrowhead= tee]
    ""Work Pressure"" -> ""Effort Devoted to Assignments"" [arrowhead= tee]
    ""Effort Devoted to Assignments"" -> ""Work Completion Rate"" [arrowhead= tee]
    ""Assignment Rate"" -> ""Assignment Backlog"" [arrowhead= vee]
    ""Time Remaining"" -> ""Work Pressure"" [arrowhead= tee] 
    ""Due Date"" -> ""Time Remaining"" [arrowhead= vee] 
    ""Calendar Time"" -> ""Time Remaining"" [arrowhead= tee] 
    ""Productivity"" -> ""Work Completion Rate""  [arrowhead= vee] 
    
}",DiGraph with 10 nodes and 11 edges,
16,17,"In most firms the advertising budget (supporting ads, trade shows, and the like) grows roughly as the company and revenue grow. Larger advertising budgets have two effects: (1) more potential customers are made aware of the product and choose to enter the market; (2) to the extent the advertising is effective, more of those who are aware and in the market are likely to buy the product offered by the company . Similarly, the larger the revenue of the firm, the greater the sales budget. The more sales representatives, and the greater their skill and experience, the more calls they can make, the more time they can spend with customers, and the more effective their calls will be, increasing both total industry demand. and the share of the total demand won by the firm.","Sales,Revenue,Advertising,Market Share,Industry Demand,Direct Sales Capabilities,Product Attractiveness","digraph{
    ""Sales"" -> ""Revenue"" [arrowhead= vee]
    ""Revenue"" -> ""Advertising"" [arrowhead= vee] 
    ""Advertising"" -> ""Market Share""  [arrowhead= vee] 
    ""Market Share"" -> ""Sales"" [arrowhead= vee]
    ""Advertising"" -> ""Industry Demand"" [arrowhead= vee]
    ""Industry Demand"" -> ""Sales"" [arrowhead= vee]
    ""Direct Sales Capabilities"" -> ""Market Share"" [arrowhead= vee]
    ""Revenue"" -> ""Direct Sales Capabilities"" [arrowhead= vee]
    ""Direct Sales Capabilities"" -> ""Industry Demand"" [arrowhead= vee] 
    ""Product Attractiveness"" -> ""Industry Demand"" [arrowhead= vee] 
       ""Product Attractiveness"" -> ""Market Share"" [arrowhead= vee] 
}",DiGraph with 7 nodes and 11 edges,
17,18,"A high-tech organization grows rapidly because of its ability to introduce new products. As new products grow, revenues grow, the R&D budget grows, and the engineering and research staff grows. Eventually, this burgeoning technical staff becomes increasingly complex and difficult to manage. The management burden often falls on senior engineers, who in turn have less time to spend on engineering. Diverting the most experienced engineers from engineering to management results in longer product development  times, which slow down the introduction of new products.","RD budget,Size of Engineering Staff,Management Complexity,Management Burden to senior engineers,Product Development time,New Products,Revenues","digraph{
   ""RD budget""-> ""Size of Engineering Staff"" [arrowhead = vee]
   ""Size of Engineering Staff"" -> ""Management Complexity"" [arrowhead = vee]
   ""Management Complexity"" -> ""Management Burden to senior engineers"" [arrowhead = vee]
   ""Management Burden to senior engineers"" -> ""Product Development time"" [arrowhead = vee]
    ""Product Development time"" -> ""New Products""[arrowhead = tee]
     ""New Products"" -> ""Revenues"" [arrowhead = vee]
    ""Revenues"" -> ""RD budget"" [arrowhead = vee]
    ""RD budget"" ->  ""New Products"" [arrowhead = vee]
}",DiGraph with 7 nodes and 8 edges,
18,19,"Morale grows and talented junior members are highly motivated, expecting to become partners within ten years. But as the firm gets larger, its growth slows. Perhaps it starts to saturate its market niche. Or it might reach a size where the founding partners are no longer interested in sustaining rapid growth. However the growth rate slows, this means less promotion opportunities, more in-fighting among junior members, and an overall decline in morale. The limits to growth structure can be diagrammed as follows. ","Motivation and Productivity,Growth,Promotion Opportunites,Morale,Staturation of Market Niche,Size of Market Niche","digraph{
  ""Motivation and Productivity"" -> ""Growth"" [arrowhead = vee]
   ""Growth"" -> ""Promotion Opportunites"" [arrowhead = vee]
   ""Promotion Opportunites"" -> ""Morale"" [arrowhead = vee]
   ""Morale"" -> ""Motivation and Productivity"" [arrowhead = vee]
    ""Growth"" -> ""Staturation of Market Niche""[arrowhead = tee]
     ""Staturation of Market Niche"" -> ""Growth"" [arrowhead = vee]
    ""Size of Market Niche"" -> ""Staturation of Market Niche"" [arrowhead = tee]
}",DiGraph with 6 nodes and 7 edges,
